model,accuracy,recall_macro,recall_weighted
"1) Baseline (gini, rs=0) - TRAIN",1.0,1.0,1.0
"2) Baseline (gini, rs=0) - TEST",0.975609756097561,0.9629629629629629,0.975609756097561
"3) 2-Feature Tree (gini, rs=0) - TRAIN",0.996078431372549,0.996078431372549,0.996078431372549
"4) 2-Feature Tree (gini, rs=0) - TEST",0.975609756097561,0.9629629629629629,0.975609756097561
5) Tuned Tree (GridSearchCV) - TRAIN,0.996078431372549,0.996078431372549,0.996078431372549
6) Tuned Tree (GridSearchCV) - TEST,0.975609756097561,0.9629629629629629,0.975609756097561
