model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
XGBoost Baseline - Cross Validation - All Features,0.8939999999999999,0.034698703145794936,0.8661485854534355,0.04869739073089952,0.8732317073170732,0.05245352181903053,0.868845845023845,0.04324456518824592,0.959162532727022,0.017930147311611393
XGBoost GridSearch - Cross Validation - All Features,0.9040000000000001,0.029732137494637,0.8802436942262293,0.03529932347501221,0.8831707317073171,0.07056709187490402,0.8797930361789781,0.04170719771102995,0.965783278214138,0.01588016728259151
XGBoost Baseline - Cross Validation - Top Features,0.8859999999999999,0.029732137494637014,0.8566401083766311,0.041756055067805053,0.8634756097560976,0.060324234236075865,0.8585800151264207,0.03832158731609939,0.9536842961967755,0.018045377421581705
XGBoost GridSearch - Cross Validation - Top Features,0.9059999999999999,0.03231098884280701,0.8874041751055628,0.049565552641738855,0.8807317073170731,0.053936502866457826,0.8827667483443815,0.040291901559625844,0.9599693054981397,0.01793435439239041
