model,evaluation_type,accuracy,precision,recall,f1_score,roc_auc
XGBoost Baseline - Train Test Split - All Features,Train Test Split,0.9,0.8947368421052632,0.85,0.8717948717948718,0.9734895833333332
XGBoost GridSearch - Train Test Split - All Features,Train Test Split,0.91,0.8974358974358975,0.875,0.8860759493670886,0.9681250000000001
XGBoost Baseline - Train Test Split - Top Features,Train Test Split,0.89,0.8536585365853658,0.875,0.8641975308641975,0.9617708333333332
XGBoost GridSearch - Train Test Split - Top Features,Train Test Split,0.905,0.8860759493670886,0.875,0.8805031446540881,0.9673958333333333
XGBoost Baseline - Cross Validation - All Features,Cross Validation,0.8939999999999999,0.8661485854534355,0.8732317073170732,0.868845845023845,0.959162532727022
XGBoost GridSearch - Cross Validation - All Features,Cross Validation,0.9040000000000001,0.8802436942262293,0.8831707317073171,0.8797930361789781,0.965783278214138
XGBoost Baseline - Cross Validation - Top Features,Cross Validation,0.8859999999999999,0.8566401083766311,0.8634756097560976,0.8585800151264207,0.9536842961967755
XGBoost GridSearch - Cross Validation - Top Features,Cross Validation,0.9059999999999999,0.8874041751055628,0.8807317073170731,0.8827667483443815,0.9599693054981397
