model,evaluation_type,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
Logistic Regression Baseline - Train Test Split,Train Test Split,0.9143516035610855,0.9038959286483841,0.9008665745071279,0.9021756859926137,0.9139369072925874
Logistic Regression GridSearch - Train Test Split,Train Test Split,0.9220208087525474,0.9122733767903546,0.9067210348854866,0.9093983948252241,0.9216755783022671
SVM Baseline - Train Test Split,Train Test Split,0.9250241338624906,0.9140214639478568,0.9124701577498346,0.9131588395470556,0.924759173116538
SVM GridSearch - Train Test Split,Train Test Split,0.9237369945296579,0.9123910103417928,0.9114532653801246,0.9118134331491893,0.9234653959284616
Logistic Regression Baseline - Cross Validation,Cross Validation,0.916731925965499,0.9073298546990836,0.9032372797419812,0.9051126349483758,0.9163069606573859
Logistic Regression GridSearch - Cross Validation,Cross Validation,0.924958983579884,0.9164655218721789,0.9095985307575953,0.9129045479576297,0.9245486403169274
SVM Baseline - Cross Validation,Cross Validation,0.9273187568571997,0.9174717733428517,0.9145569781993123,0.9159070808594393,0.9270049586829622
SVM GridSearch - Cross Validation,Cross Validation,0.9271578747956989,0.9176962276250491,0.9143522603838286,0.9159108332467991,0.926829112420793
