model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
SVM Baseline LINEAR - Cross Validation - All Features,0.8210000000000001,0.035341194094144567,0.8344427306927308,0.05297703745288792,0.6967682926829267,0.0867214020668635,0.7557362000962393,0.05555955439992363,0.9159178896238114,0.020959350213602807
SVM Baseline POLY - Cross Validation - All Features,0.8430000000000002,0.02758622844826744,0.8621694500930637,0.04255209301678129,0.7289634146341463,0.0696656681889421,0.7874190482363673,0.042781322019733906,0.9153536413118368,0.024670498716931128
SVM GridSearch - Cross Validation - All Features,0.906,0.03322649545167229,0.8709341919303633,0.05075403846999876,0.9029268292682927,0.05959834827570431,0.8851241302742896,0.041752274828616584,0.9589397995039273,0.016659173580703318
SVM Baseline LINEAR - Cross Validation - Top Features,0.8240000000000001,0.030066592756745798,0.8300894512567238,0.04363821533208833,0.7115853658536585,0.08395878709107041,0.7626201808778597,0.048556261204604934,0.916875895686923,0.0209171856890572
SVM Baseline POLY - Cross Validation - Top Features,0.8019999999999999,0.0362767142944341,0.906376377134998,0.038481676347933355,0.5647560975609757,0.07944997939993945,0.6935546192609815,0.06802430499375309,0.909844150475403,0.034519641150172774
SVM GridSearch - Cross Validation - Top Features,0.907,0.02282542442102665,0.8650905903037864,0.03417141140484181,0.9129268292682928,0.05273018995583181,0.8871239440144454,0.030267807362568167,0.9528183994763678,0.0174616281381095
