model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression - Original,0.8616071428571429,0.8761467889908257,0.8451327433628318,0.8603603603603603,0.9075181376066331
Random Forest - Original,0.9174107142857143,0.8857142857142857,0.9601769911504425,0.921443736730361,0.9741987562784024
Logistic Regression - PCA,0.8549107142857143,0.8744186046511628,0.831858407079646,0.8526077097505669,0.9084947779638045
Random Forest - PCA,0.90625,0.8770491803278688,0.9469026548672567,0.9106382978723404,0.9604659969704217
