model,evaluation_type,accuracy,precision,recall,f1_score,roc_auc
XGBoost Baseline - Train Test Split - All Features,Train Test Split,0.7932960893854749,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.8152832674571804
XGBoost GridSearch - Train Test Split - All Features,Train Test Split,0.776536312849162,0.7543859649122807,0.6231884057971014,0.6825396825396826,0.8108695652173913
XGBoost Baseline - Cross Validation - All Features,Cross Validation,0.8091510611735331,0.7658786386688563,0.7278991596638655,0.7436785287404747,0.8637160399513342
XGBoost GridSearch - Cross Validation - All Features,Cross Validation,0.8270786516853933,0.8063353705118411,0.7278991596638655,0.7622639176384169,0.8718971224853578
